Question Title,Sub-Outcome Code,Module,Topic/ Unit,Learning Outcome,Sub-Outcome,Question Type,Question Format,Origin/Author,Automatic Grading,Randomizable Parameters,Needs Calculator,Keywords,Last Edited By,Last Edit,Sean Reviewed,Shaobo Reviewed,Status,On Mobius,Margin of Error,Sig Fig
STATICS-VCP03.02.01,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.02,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.03,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.04,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.05,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.06,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.07,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.08,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP03.02.09,https://www.notion.so/STATICS-VCP03-02-f1d08e4a2509498b83c72e69d4a74e85,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize and calculate unit vector cross products,2. calculate (FITB),A,Multiple choice,Zoe,Yes,No,No,"cross product, unit vector",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,N/A,N/A
STATICS-VCP02.02.01,https://www.notion.so/STATICS-VCP02-02-6e056a64ddb348c2885353fda7e39003,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the correct mathematical expression for the cross product of two vectors,2. 3D vectors,A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, expression",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP02.01.01,https://www.notion.so/STATICS-VCP02-01-d4195d5b5b0f473799b0dc1412cf383c,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the correct mathematical expression for the cross product of two vectors,"1. 2D vectors                                                                          ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, expression",Caelia Gardiner,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.02.01,https://www.notion.so/STATICS-VCP04-02-ddb3983c48f04f97803ad8e536581bbb,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,"2. scalar/vector nature                                                           ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.01.01,https://www.notion.so/STATICS-VCP04-01-0f07876ff9ce457ea4d3ef6c51f35c5c,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,"1. the equations                                                                      ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.01.01,https://www.notion.so/STATICS-VCP05-01-2805ba57a29a40beb9580834c29d7b56,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.03.01,https://www.notion.so/STATICS-VCP04-03-8986307832254f01af83253e05af1f4e,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,3. relative magnitudes given different angles between them,A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP07.02.04,https://www.notion.so/STATICS-VCP07-02-e1d33bfd4f6b4b58b3cd75821c9200ff,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 3D vectors,2. term by term variations (numbers and letters),A,Multiple choice,Caelia,Yes,No,No,"3D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP07.02.03,https://www.notion.so/STATICS-VCP07-02-e1d33bfd4f6b4b58b3cd75821c9200ff,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 3D vectors,2. term by term variations (numbers and letters),A,Multiple choice,Caelia,Yes,No,No,"3D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP07.02.02,https://www.notion.so/STATICS-VCP07-02-e1d33bfd4f6b4b58b3cd75821c9200ff,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 3D vectors,2. term by term variations (numbers and letters),A,Multiple choice,Caelia,Yes,No,No,"3D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP07.01.04,https://www.notion.so/STATICS-VCP07-01-5976815b881f432c99f721eb7f7024d9,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 3D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"3D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP07.01.03,https://www.notion.so/STATICS-VCP07-01-5976815b881f432c99f721eb7f7024d9,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 3D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"3D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP07.01.02,https://www.notion.so/STATICS-VCP07-01-5976815b881f432c99f721eb7f7024d9,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 3D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"3D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.02.04,https://www.notion.so/STATICS-VCP05-02-13b52d562378498e898556577f0c5b2b,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,2. term by term variations (numbers and letters),A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.02.03,https://www.notion.so/STATICS-VCP05-02-13b52d562378498e898556577f0c5b2b,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,2. term by term variations (numbers and letters),A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.02.02,https://www.notion.so/STATICS-VCP05-02-13b52d562378498e898556577f0c5b2b,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,2. term by term variations (numbers and letters),A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.01.04,https://www.notion.so/STATICS-VCP05-01-2805ba57a29a40beb9580834c29d7b56,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant, numbers",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.01.03,https://www.notion.so/STATICS-VCP05-01-2805ba57a29a40beb9580834c29d7b56,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant, numbers",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP05.01.02,https://www.notion.so/STATICS-VCP05-01-2805ba57a29a40beb9580834c29d7b56,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),recognize the determinant form of the cross product of two 2D vectors,"1. determinant (numbers and letters)                                                ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, determinant",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.03.04,https://www.notion.so/STATICS-VCP04-03-8986307832254f01af83253e05af1f4e,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,3. relative magnitudes given different angles between them,A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.03.03,https://www.notion.so/STATICS-VCP04-03-8986307832254f01af83253e05af1f4e,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,3. relative magnitudes given different angles between them,A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.03.02,https://www.notion.so/STATICS-VCP04-03-8986307832254f01af83253e05af1f4e,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,3. relative magnitudes given different angles between them,A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.02.04,https://www.notion.so/STATICS-VCP04-02-ddb3983c48f04f97803ad8e536581bbb,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,"2. scalar/vector nature                                                           ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
STATICS-VCP04.02.03,https://www.notion.so/STATICS-VCP04-02-ddb3983c48f04f97803ad8e536581bbb,Module 2: Identify and solve introductory level rigid body statics problems,1. Calculate cross products of 2D and 3D vectors (VCP),distinguish dot and cross products and their characteristics,"2. scalar/vector nature                                                           ",A,Multiple choice,Caelia,Yes,No,No,"2D, cross product, dot product",Nicholas Betancourt,"Oct 30, 2020 11:22 AM",Yes,No,Approved,Yes,,
